iter	RMSE
0	72926.00644
1	68744.51403
2	64730.65801
3	61203.61196
4	57616.92974
5	54562.09482
6	51547.84167
7	49063.17859
8	46959.85503
9	44998.54879
10	43348.94712
11	41667.81558
12	40334.05805
13	38931.7592
14	37574.42337
15	36472.28192
16	35438.30621
17	34444.54184
18	33422.65111
19	32612.32765
20	31940.18784
21	31084.15154
22	30494.40542
23	29814.40082
24	29239.77243
25	28702.70329
26	28267.8449
27	27723.26626
28	27179.22724
29	26741.72011
30	26338.31109
31	25973.86035
32	25630.85494
33	25293.76063
34	24854.14541
35	24603.62087
36	24324.91189
37	24048.6373
38	23775.63565
39	23484.23699
40	23420.6992
41	23167.52907
42	22963.38506
43	22907.0135
44	22649.21719
45	22480.08167
46	22245.72154
47	22042.67749
48	21900.02845
49	21641.62009
50	21536.42898
51	21457.60124
52	21313.38906
53	21274.39581
54	21083.37232
55	20917.38788
56	20808.39506
57	20743.33858
58	20705.93467
59	20509.25048
60	20344.90069
61	20213.84795
62	20150.14604
63	20002.29232
64	19885.99288
65	19860.8954
66	19742.289
67	19690.95463
68	19634.98744
69	19463.39912
70	19335.77861
71	19305.77608
72	19161.34735
73	19049.75731
74	18966.78183
75	18920.21281
76	18859.06315
77	18770.62731
78	18620.92541
79	18495.35686
80	18370.05038
81	18235.39382
82	18153.82523
83	18087.55757
84	17970.11148
85	17930.1168
86	17863.15704
87	17782.23963
88	17711.82443
89	17597.5858
90	17488.07689
91	17458.5782
92	17367.60088
93	17283.62245
94	17197.70311
95	17171.69171
96	17148.9032
97	17083.85691
98	17004.29082
99	16935.90303
100	16844.61146
101	16780.76682
102	16702.94937
103	16625.33242
104	16548.63227
105	16525.71246
106	16439.12097
107	16374.10472
108	16363.70171
109	16274.80824
110	16183.50398
111	16131.23871
112	16104.38246
113	16046.03464
114	15977.9934
115	15936.82249
116	15876.99329
117	15814.28148
118	15759.61614
119	15672.58288
120	15604.55175
121	15554.06597
122	15497.80774
123	15433.15695
124	15388.7132
125	15327.45026
126	15244.25711
127	15191.49838
128	15129.51838
129	15074.23274
130	15010.86896
131	14998.19991
132	14933.64952
133	14889.58742
134	14840.18039
135	14792.49355
136	14723.71541
137	14690.75539
138	14641.7517
139	14579.22957
140	14510.1815
141	14462.90296
142	14424.09401
143	14354.75364
144	14329.15919
145	14271.25237
146	14251.50232
147	14195.24465
148	14168.02093
149	14117.9399
150	14080.40799
151	14035.1802
152	13948.43175
153	13898.50625
154	13869.69475
155	13840.22661
156	13830.95908
157	13767.55511
158	13715.13256
159	13687.44646
160	13659.27177
161	13612.57977
162	13571.00061
163	13506.72093
164	13489.979
165	13440.67895
166	13405.70393
167	13394.73802
168	13343.15489
169	13327.18746
170	13284.12553
171	13252.33714
172	13190.12022
173	13138.05135
174	13106.96162
175	13099.82285
176	13087.65048
177	13039.33007
178	12986.54812
179	12964.44145
180	12935.4258
181	12895.56735
182	12889.84035
183	12850.58853
184	12812.92263
185	12778.52875
186	12762.18287
187	12700.39053
188	12666.91058
189	12635.12308
190	12619.46473
191	12582.40193
192	12522.40293
193	12485.93476
194	12447.71831
195	12403.49702
196	12386.16093
197	12371.63682
198	12336.81167
199	12320.54266
200	12299.24838
201	12245.57427
202	12216.69679
203	12206.61353
204	12159.46368
205	12136.60327
206	12081.1581
207	12052.09743
208	12024.04318
209	11984.07792
210	11952.3751
211	11893.95094
212	11859.33184
213	11819.41995
214	11815.51537
215	11787.83399
216	11760.95931
217	11743.5582
218	11704.54838
219	11673.27866
220	11668.26985
221	11629.0991
222	11625.12875
223	11614.30809
224	11600.78388
225	11564.87837
226	11526.35136
227	11493.97489
228	11471.03395
229	11433.28851
230	11412.85845
231	11386.3588
232	11363.79005
233	11338.0364
234	11288.45052
235	11253.16609
236	11218.94374
237	11202.26206
238	11189.23249
239	11162.49254
240	11138.45119
241	11095.56996
242	11078.37503
243	11054.63803
244	11024.96938
245	11002.8442
246	10998.86076
247	10958.90061
248	10928.93841
249	10905.83405
250	10856.03164
251	10849.59234
252	10812.83363
253	10809.52382
254	10784.84811
255	10759.16357
256	10730.289
257	10712.28341
258	10696.01071
259	10670.25538
260	10644.99739
261	10618.11782
262	10581.78738
263	10555.82732
264	10543.39529
265	10515.98188
266	10489.02371
267	10467.27779
268	10457.90289
269	10432.1452
270	10401.28243
271	10377.11205
272	10362.45825
273	10324.54396
274	10316.53867
275	10313.78574
276	10269.39054
277	10239.05945
278	10234.8167
279	10209.54065
280	10190.30181
281	10187.26419
282	10165.39342
283	10131.56097
284	10128.52145
285	10100.10461
286	10080.33509
287	10051.65866
288	10017.36024
289	9999.486411
290	9984.544469
291	9958.664974
292	9939.125926
293	9907.234072
294	9899.279081
295	9865.273026
296	9842.679784
297	9811.300075
298	9802.123406
299	9792.115055
