iter	Passed	Remaining
0	4	1370
1	9	1391
2	13	1368
3	18	1378
4	23	1370
5	27	1352
6	31	1338
7	36	1347
8	41	1333
9	45	1322
10	51	1361
11	56	1361
12	61	1357
13	65	1347
14	70	1338
15	74	1326
16	79	1321
17	84	1330
18	90	1342
19	95	1338
20	99	1327
21	104	1322
22	108	1311
23	112	1298
24	117	1287
25	122	1295
26	127	1287
27	131	1278
28	136	1272
29	140	1264
30	144	1257
31	149	1252
32	153	1243
33	157	1236
34	162	1231
35	167	1227
36	171	1219
37	175	1210
38	179	1202
39	183	1195
40	187	1187
41	192	1180
42	199	1193
43	203	1186
44	208	1179
45	212	1170
46	216	1162
47	219	1154
48	225	1152
49	230	1153
50	235	1150
51	240	1145
52	248	1156
53	252	1150
54	257	1147
55	262	1142
56	266	1135
57	270	1128
58	274	1121
59	278	1114
60	282	1107
61	287	1102
62	291	1095
63	295	1088
64	299	1081
65	303	1075
66	307	1068
67	311	1061
68	315	1055
69	319	1051
70	324	1045
71	327	1038
72	332	1032
73	336	1026
74	340	1020
75	343	1013
76	349	1011
77	353	1005
78	357	998
79	361	993
80	365	987
81	369	981
82	373	975
83	376	969
84	380	963
85	384	957
86	388	951
87	395	953
88	418	991
89	430	1005
90	441	1013
91	452	1023
92	464	1033
93	477	1046
94	488	1054
95	499	1061
96	509	1067
97	521	1075
98	532	1081
99	546	1093
100	560	1104
101	579	1124
102	641	1226
103	656	1237
104	671	1246
105	686	1256
106	691	1247
107	712	1266
108	717	1256
109	722	1247
110	726	1236
111	730	1227
112	735	1216
113	739	1206
114	743	1196
115	747	1185
116	751	1176
117	755	1165
118	759	1155
119	763	1145
120	767	1135
121	771	1125
122	775	1115
123	779	1105
124	783	1097
125	787	1087
126	791	1078
127	795	1068
128	799	1059
129	803	1050
130	806	1040
131	810	1031
132	814	1022
133	818	1013
134	821	1004
135	825	995
136	829	987
137	833	978
138	836	969
139	839	959
140	845	953
141	849	945
142	853	937
143	858	929
144	862	921
145	866	914
146	870	906
147	874	898
148	879	891
149	883	883
150	887	875
151	891	868
152	895	860
153	900	853
154	909	850
155	914	844
156	919	837
157	924	830
158	928	823
159	933	816
160	937	809
161	941	801
162	945	794
163	949	787
164	952	779
165	956	772
166	960	765
167	964	758
168	968	750
169	972	744
170	976	737
171	980	729
172	984	722
173	988	715
174	993	709
175	997	702
176	1001	695
177	1005	688
178	1009	682
179	1017	678
180	1023	672
181	1027	666
182	1032	660
183	1036	653
184	1040	647
185	1044	640
186	1049	634
187	1054	627
188	1058	621
189	1062	615
190	1066	608
191	1070	602
192	1074	595
193	1080	590
194	1084	583
195	1088	577
196	1094	572
197	1099	566
198	1103	560
199	1108	554
200	1112	547
201	1117	541
202	1121	535
203	1125	529
204	1129	523
205	1134	517
206	1138	511
207	1142	505
208	1147	499
209	1151	493
210	1155	487
211	1159	481
212	1163	475
213	1167	468
214	1171	463
215	1175	457
216	1178	450
217	1182	444
218	1185	438
219	1190	432
220	1196	427
221	1201	422
222	1204	415
223	1212	411
224	1217	405
225	1221	399
226	1224	393
227	1228	388
228	1234	382
229	1237	376
230	1241	370
231	1246	365
232	1249	359
233	1253	353
234	1257	347
235	1260	341
236	1264	336
237	1268	330
238	1272	324
239	1275	318
240	1279	313
241	1283	307
242	1287	301
243	1291	296
244	1295	290
245	1299	285
246	1303	279
247	1307	274
248	1311	268
249	1314	262
250	1318	257
251	1323	252
252	1327	246
253	1331	241
254	1336	235
255	1340	230
256	1344	224
257	1349	219
258	1353	214
259	1357	208
260	1361	203
261	1365	198
262	1369	192
263	1373	187
264	1376	181
265	1380	176
266	1384	171
267	1388	165
268	1392	160
269	1395	155
270	1399	149
271	1403	144
272	1407	139
273	1411	133
274	1414	128
275	1418	123
276	1422	118
277	1426	112
278	1430	107
279	1433	102
280	1437	97
281	1441	91
282	1445	86
283	1448	81
284	1452	76
285	1456	71
286	1460	66
287	1463	60
288	1467	55
289	1471	50
290	1475	45
291	1479	40
292	1482	35
293	1486	30
294	1490	25
295	1494	20
296	1497	15
297	1501	10
298	1505	5
299	1509	0
